date,title,description,url
2024-07-11T14:36:54+00:00,Kenya's Ruto dismisses almost entire cabinet after deadly protests,Kenyan President William Ruto announced on Thursday the dismissal of almost his entire cabinet as part of measures undertaken following widespread anti-government protests that turned deadly. He said the move with immediate effect affected all ministers except Prime Cabinet Secretary and Foreign Minister Musalia Mudavadi and Deputy President Rigathi Gachagua. The attorney general was also dismissed.,https://www.voaafrica.com/a/7693958.html
2024-07-09T17:03:55+00:00,Kenya’s President Ruto establishes a taskforce to audit the country’s debt,"Kenyan President William Ruto has established a taskforce to audit the country's public debt -- a key demand by Gen Z protesters. For analysis of the latest political developments, VOA's Peter Clottey reached Mark Bichache. He is a communication and political strategist with Dia Consult.",https://www.voaafrica.com/a/7691083.html
2024-07-08T13:13:43+00:00,"After a tax increase bill is withdrawn, Kenya’s President orders considerable budget cuts",Kenya President William Ruto has ordered significant cuts in the federal budget and proposed other government reforms to pay off a crushing debt burden. The move is seen as a concession to popular disapproval of a tax bill that sparked weeks of violent protests. VOA’s Nairobi Bureau Chief Mariama Diallo reports.,https://www.voaafrica.com/a/7689227.html
2024-07-06T08:00:00+00:00,Rights groups say Kenyan protesters have been abducted,Human rights groups say dozens of Kenyans have been abducted in the past two weeks amid anti-government protests sparked by proposals to raise taxes. David Doyle of Reuters has more.,https://www.voaafrica.com/a/7686600.html
2024-07-03T16:46:35+00:00,Youth protests against Kenya’s proposed tax increases continue,"Kenya’s ongoing protests against proposed tax increases and the administration of President William Ruto are organized by citizens mostly in their 20s from the so-called Gen Z group. However, Members of other age groups are also expressing dissatisfaction with the government of East Africa’s biggest economy. VOA’s Darren Taylor reports.",https://www.voaafrica.com/a/7683878.html
2024-07-03T07:00:00+00:00,Expert weigh in on fresh Kenya protest,"A number of Kenyans have been killed after clashing with the police since June 18. On Tuesday, there was a heavy police presence in Kenya’s capital, Nairobi. The demonstrations started as an online anger over nearly $2.7 billion worth of tax hikes in a proposed finance bill that’s grown into a movement against corruption and irresponsible governance. VOA’s Paul Ndiho spoke to Adjunct Professor of African Studies at Georgetown University, James Ngundi about the situation.",https://www.voaafrica.com/a/7682462.html
2024-07-02T14:08:49+00:00,Dr. Auma Obama on the future role of young people in Kenyan politics,"Dr. Auma Obama is the founder and chairperson of the Auma Obama Foundation, Sauti Kuu, and an author, sociologist and sister to President Barack Obama, the 44th U.S. president. She tells VOA’s Peter Clottey that to know what young people are thinking you should listen to them since their anti-tax protests have nearly brought the country’s politics to a standstill.",https://www.voaafrica.com/a/7682103.html
2024-06-29T07:00:00+00:00,"Business, government count cost of Kenya's protests","Anti-government protests in Kenya have left some shops, like one belonging to Francis Ochieng, in ruins. But what also lies in tatters is Kenya's plan to tackle its heavy debt burden with IMF support. Reuters’ Kristy Kilburn has more.",https://www.voaafrica.com/a/7677642.html
2024-06-27T07:00:00+00:00,Young adults leading protests against tax bill in Kenya,"In Kenya, at least five protesters have been killed and dozens injured as a crowd stormed parliament during a protest against a bill raising taxes. Young Kenyans, mostly members of Generation Z, have been leading protests against the bill, giving political protests in Kenya a new face. Juma Majanga reports from Nairobi.",https://www.voaafrica.com/a/7675174.html
2024-06-26T15:08:09+00:00,"VOA 60: Heavy security surrounds Kenya’s parliament building after protests turn deadly, and more","A day after an anti-tax demonstration turned deadly in Nairobi, heavy security has been deployed around Kenya’s parliament building. A military court in the Democratic Republic of the Congo rejected a bid by defense attorneys to drop the trial of 51 people for an alleged May 19 coup attempt. This, and more Africa-related news updates on today’s VOA 60.",https://www.voaafrica.com/a/7674635.html
